tier,condition,runs,successes,success_rate,wall_total_seconds,wall_mean_seconds,wall_median_seconds,steps_total,steps_mean,steps_median,tool_calls_total,tool_calls_mean,tool_calls_median,prompt_tokens_total,prompt_tokens_mean,completion_tokens_total,completion_tokens_mean,cached_tokens_total,cached_tokens_mean,source_files_total,source_files_mean,workspace_churn_total,workspace_churn_mean,lines_added_total,lines_deleted_total
moderate,Medium,10,10,1.0,2228.798234625944,222.8798234625944,123.96559891702515,280,28,20.0,230,23,15.5,4773353,477335.3,58202,5820.2,4557005,455700.5,10,1,90,9,145,21
moderate,Max,10,8,0.8,4294.827295750002,429.48272957500023,250.7784359794776,362,36.2,28.0,437,43.7,28.5,12598295,1259829.5,185635,18563.5,12200427,1220042.7,10,1,3228,322.8,3267,17
hard,Medium,10,7,0.7,1860.5215993340826,186.05215993340826,117.74408158351434,280,28,18.0,293,29.3,14.5,319031,31903.1,2871,287.1,310943,31094.3,19,1.9,19,1.9,183,35
hard,Max,10,6,0.6,4383.846585415071,438.38465854150706,409.52627831249265,381,38.1,31.5,398,39.8,32.0,498938,49893.8,5348,534.8,481869,48186.9,20,2,20,2,221,42
very-hard,Medium,10,7,0.7,4406.688747791108,440.66887477911075,118.17491741705453,223,22.3,14.5,208,20.8,11.5,3490721,349072.1,47901,4790.1,3079565,307956.5,22,2.2,307,30.7,122,46
very-hard,Max,10,9,0.9,7189.877785374643,718.9877785374644,667.7272179584252,360,36,18.0,369,36.9,18.5,13683981,1368398.1,242899,24289.9,13163816,1316381.6,22,2.2,311,31.1,173,64
